Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","356","India","5510","Production","F1738","Fruit Primary","1999","1999","tonnes","46561080","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1738","Fruit Primary","2000","2000","tonnes","43900880","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1738","Fruit Primary","2001","2001","tonnes","45278828","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1738","Fruit Primary","2002","2002","tonnes","44221611","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1738","Fruit Primary","2003","2003","tonnes","47027196","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1738","Fruit Primary","2004","2004","tonnes","49625940","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1738","Fruit Primary","2005","2005","tonnes","52658409","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1738","Fruit Primary","2006","2006","tonnes","58820063","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1738","Fruit Primary","2007","2007","tonnes","63896834","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1738","Fruit Primary","2008","2008","tonnes","69802851","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1738","Fruit Primary","2009","2009","tonnes","70244755","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1738","Fruit Primary","2010","2010","tonnes","76409398","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1738","Fruit Primary","2011","2011","tonnes","76076727","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1738","Fruit Primary","2012","2012","tonnes","77996263","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1738","Fruit Primary","2013","2013","tonnes","85262158","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1738","Fruit Primary","2014","2014","tonnes","91046966","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1738","Fruit Primary","2015","2015","tonnes","90792024","E","Estimated value"
