Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","159","China","5510","Production","F1738","Fruit Primary","1981","1981","tonnes","17546996","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1738","Fruit Primary","1982","1982","tonnes","17476086","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1738","Fruit Primary","1983","1983","tonnes","20150782","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1738","Fruit Primary","1984","1984","tonnes","21625981","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1738","Fruit Primary","1985","1985","tonnes","29119533","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1738","Fruit Primary","1986","1986","tonnes","31717371","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1738","Fruit Primary","1987","1987","tonnes","37105082","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1738","Fruit Primary","1988","1988","tonnes","37844035","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1738","Fruit Primary","1989","1989","tonnes","37019632","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1738","Fruit Primary","1990","1990","tonnes","34926185","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1738","Fruit Primary","1991","1991","tonnes","38812691","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1738","Fruit Primary","1992","1992","tonnes","45054179","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1738","Fruit Primary","1993","1993","tonnes","55235273","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1738","Fruit Primary","1994","1994","tonnes","60256756","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1738","Fruit Primary","1995","1995","tonnes","69191296","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1738","Fruit Primary","1996","1996","tonnes","79157988","E","Estimated value"
